H2AFX	XPC	1
H2AFX	XRCC5	1
H2AFX	XRCC6	1
HELQ	RAD51B	1
HELQ	RAD51C	1
HELQ	RPA1	1
HLTF	PCNA	1
HLTF	RAD18	1
HLTF	RPA1	1
HLTF	UBE2N	1
HLTF	UBE2V2	1
HMGB1	HMGB2	1
HMGB1	TP53	1
HMGB1	XPC	1
HNRNPUL1	RPA1	1
HNRNPUL1	RPA2	1
HUS1	MSH2	1
HUS1	MSH3	1
HUS1	MSH6	1
HUS1	PCNA	1
HUS1	RAD1	1
HUS1	RAD9A	1
HUS1	RAD17	1
HUS1B	RAD1	1
HUS1B	RAD9A	1
KIN	RPA1	1
LIG1	PCNA	1
LIG3	NEIL1	1
LIG3	PARP1	1
LIG3	PNKP	1
LIG3	RPA1	1
LIG3	XRCC1	1
LIG3	XRCC5	1
LIG3	XRCC6	1
LIG4	PNKP	1
LIG4	PRKDC	1
LIG4	SMC2	1
LIG4	XRCC4	1
LIG4	XRCC5	1
LIG4	XRCC6	1
MAD2L2	REV1	1
MAD2L2	REV3L	1
MBD4	MLH1	1
MBD4	USP7	1
MCM2	MCM3	1
MCM2	MCM4	1
MCM2	MCM5	1
MCM2	MCM6	1
MCM2	MCM7	1
MCM2	MCMBP	1
MCM2	MMS22L	1
MCM2	SSRP1	1
MCM2	TONSL	1
MCM3	MCM5	1
MCM3	MCM7	1
MCM3	MCMBP	1
MCM3	PNKP	1
MCM3	SSRP1	1
MCM4	MCM5	1
MCM4	MCM6	1
MCM4	MCM7	1
MCM4	MCMBP	1
MCM4	SSRP1	1
MCM4	SUPT16H	1
MCM4	TONSL	1
MCM4	USP7	1
MCM5	MCM6	1
MCM5	MCM7	1
MCM5	MCMBP	1
MCM5	SSRP1	1
MCM6	MCM7	1
MCM6	MCMBP	1
MCM6	MMS22L	1
MCM6	SMC1A	1
MCM6	SSRP1	1
MCM6	TONSL	1
MCM7	MCM10	1
MCM7	MCMBP	1
MCM7	MNAT1	1
MCM7	SMC1A	1
MCM7	SSRP1	1
MCM8	MCMBP	1
MCM10	ORC2	1
MCMBP	USP7	1
MDC1	MRE11	1
MDC1	NBN	1
MDC1	PRKDC	1
MDC1	RAD50	1
MDC1	RAD51	1
MDC1	RNF8	1
MDC1	TOPBP1	1
MDC1	TP53BP1	1
MDC1	UIMC1	1
MDC1	WRAP53	1
MDC1	XRCC5	1
MLH1	MLH3	1
MLH1	MSH2	1
MLH1	MSH3	1
MLH1	MSH4	1
MLH1	MSH6	1
MLH1	PMS1	1
MLH1	PMS2	1
MLH1	POLH	1
MLH3	MSH4	1
MMS19	NARFL	1
MMS19	POLD1	1
MMS19	PPAT	1
MMS19	PRIM2	1
MMS22L	SSRP1	1
MMS22L	TONSL	1
MNAT1	TP53	1
MPG	RAD23A	1
MRE11	NBN	1
MRE11	PAXIP1	1
MRE11	RAD50	1
MRE11	RBBP8	1
MRE11	RECQL5	1
MRE11	TERF2	1
MRE11	XRCC6	1
MSH2	MSH3	1
MSH2	MSH6	1
MSH2	MUTYH	1
MSH2	PCNA	1
MSH2	PMS2	1
MSH2	POLK	1
MSH2	RAD1	1
MSH2	RAD9A	1
MSH2	SLX4	1
MSH2	SUMO2	1
MSH2	TP53	1
MSH2	XRCC6	1
MSH3	PCNA	1
MSH3	RAD1	1
MSH3	RAD9A	1
MSH4	MSH5	1
MSH6	MUTYH	1
MSH6	PCNA	1
MSH6	PMS2	1
MSH6	RAD1	1
MSH6	RAD9A	1
MSH6	XRCC6	1
MUS81	SLX1A	1
MUS81	SLX4	1
MUS81	SUMO2	1
MUS81	TERF2	1
MUTYH	PCNA	1
MUTYH	RPA1	1
NABP2	TP53	1
NBN	PRKDC	1
NBN	RAD18	1
NBN	RAD50	1
NBN	RBBP8	1
NBN	RECQL5	1
NBN	RNF8	1
NBN	TERF2	1
NBN	VRK1	1
NBN	WRN	1
NCAPD2	NCAPG	1
NCAPD2	NCAPH	1
NCAPD2	PARP1	1
NCAPD2	SMC2	1
NCAPD2	SMC4	1
NCAPD3	NCAPG2	1
NCAPD3	NCAPH2	1
NCAPD3	SMC2	1
NCAPD3	SMC4	1
NCAPG	NCAPH	1
NCAPG	SMC2	1
NCAPG	SMC4	1
NCAPG2	NCAPH2	1
NCAPG2	SMC2	1
NCAPH	SMC2	1
NCAPH	SMC4	1
NCAPH2	SMC2	1
NCAPH2	SMC4	1
NHEJ1	XRCC4	1
OGG1	XRCC1	1
ORC1	ORC2	1
ORC1	TERF2	1
ORC2	ORC5	1
ORC2	ORC6	1
ORC2	TERF2	1
ORC2	XRCC5	1
ORC6	XRCC5	1
PALB2	POLH	1
PALB2	RAD51	1
PALB2	RAD51C	1
PALB2	RNF168	1
PARP1	PARP3	1
PARP1	PCNA	1
PARP1	POLA1	1
PARP1	POLA2	1
PARP1	POLB	1
PARP1	SMARCAD1	1
PARP1	TOP1	1
PARP1	TP53	1
PARP1	UBE2I	1
PARP1	WRN	1
PARP1	XRCC1	1
PARP1	XRCC5	1
PARP1	XRCC6	1
PAXIP1	RAD50	1
PAXIP1	RBBP5	1
PAXIP1	TP53BP1	1
PBRM1	SMARCD1	1
PCLAF	PCNA	1
PCNA	PMS2	1
PCNA	POLB	1
PCNA	POLD1	1
PCNA	POLD2	1
PCNA	POLD3	1
PCNA	POLD4	1
PCNA	POLE	1
PCNA	POLH	1
PCNA	POLI	1
PCNA	POLK	1
PCNA	POLL	1
PCNA	POLN	1
PCNA	RAD18	1
PCNA	RBBP8	1
PCNA	REV1	1
PCNA	RFC1	1
PCNA	RFC2	1
PCNA	RFC3	1
PCNA	RFC4	1
PCNA	RFC5	1
PCNA	RNF8	1
PCNA	RPA1	1
PCNA	SMARCAD1	1
PCNA	SPRTN	1
PCNA	TDG	1
PCNA	TP53	1
PCNA	UBE2B	1
PCNA	USP1	1
PCNA	WDR4	1
PCNA	WRN	1
PCNA	XRCC1	1
PCNA	XRCC5	1
PCNA	XRCC6	1
PDS5A	PDS5B	1
PDS5A	SMC1A	1
PDS5A	STAG1	1
PDS5B	SMC1A	1
PDS5B	STAG1	1
PNKP	POLB	1
PNKP	XRCC1	1
PNKP	XRCC4	1
POLA1	POLA2	1
POLA1	PRIM1	1
POLA1	PRIM2	1
POLB	UNG	1
POLB	XRCC1	1
POLD1	POLD2	1
POLD1	POLD3	1
POLD1	POLD4	1
POLD1	SPRTN	1
POLD2	POLD3	1
POLD2	POLD4	1
POLD2	POLH	1
POLD2	SPRTN	1
POLD3	REV1	1
POLD3	SPRTN	1
POLE	POLE2	1
POLE	POLE3	1
POLE	RAD17	1
POLE2	POLE3	1
POLE3	SMARCA5	1
POLH	POLI	1
POLH	RAD18	1
POLH	REV1	1
POLH	SPRTN	1
POLH	UBE2B	1
POLH	USP7	1
POLI	REV1	1
POLI	TP53	1
POLK	RAD18	1
POLK	REV1	1
POLK	RPA1	1
POLN	RAD18	1
POLR2D	POLR2G	1
POLR2D	RECQL5	1
POLR2G	RECQL5	1
POT1	TERF2	1
PRIM1	RPA2	1
PRKDC	RPA1	1
PRKDC	RPA2	1
PRKDC	TELO2	1
PRKDC	TP53	1
PRKDC	WRN	1
PRKDC	XRCC4	1
PRKDC	XRCC5	1
PRKDC	XRCC6	1
PRPF19	RPA1	1
PRPF19	RPA2	1
PRPF19	RPA3	1
RAD1	RAD9A	1
RAD1	RAD17	1
RAD9A	RAD17	1
RAD9A	TOPBP1	1
RAD17	RFC1	1
RAD17	RFC2	1
RAD17	RFC3	1
RAD17	RFC4	1
RAD17	RFC5	1
RAD18	RAD51	1
RAD18	SHPRH	1
RAD18	SLF1	1
RAD18	SPRTN	1
RAD18	TP53BP1	1
RAD18	UBE2A	1
RAD18	UBE2B	1
RAD18	USP7	1
RAD23A	RAD23B	1
RAD23A	SEM1	1
RAD23A	TP53	1
RAD23A	XPC	1
RAD23B	XPC	1
RAD50	RECQL5	1
RAD50	TERF2	1
RAD51	RAD51AP1	1
RAD51	RAD51C	1
RAD51	RAD52	1
RAD51	RAD54B	1
RAD51	RECQL5	1
RAD51	RPA1	1
RAD51	TP53	1
RAD51	UBE2I	1
RAD51	WRN	1
RAD51AP1	USP1	1
RAD51AP1	WDR48	1
RAD51B	RAD51C	1
RAD51B	XRCC2	1
RAD51C	RAD51D	1
RAD51C	XRCC2	1
RAD51C	XRCC3	1
RAD51D	XRCC2	1
RAD52	RPA3	1
RAD52	WRN	1
RBBP4	SMARCA2	1
RBBP4	SMARCA5	1
RBBP5	TP53	1
REV1	REV3L	1
RFC1	RFC2	1
RFC1	RFC3	1
RFC1	RFC4	1
RFC1	RFC5	1
RFC1	RPA1	1
RFC1	SMC1A	1
RFC1	XRCC5	1
RFC2	RFC4	1
RFC2	RFC5	1
RFC2	RPA1	1
RFC3	RFC4	1
RFC4	RFC5	1
RFC4	RPA1	1
RFC5	RPA1	1
RFWD3	RPA1	1
RFWD3	RPA2	1
RFWD3	RPA3	1
RFWD3	TP53	1
RMI1	RMI2	1
RMI1	TOP3A	1
RNF4	SUMO2	1
RNF4	TERF2	1
RNF4	UBE2N	1
RNF8	UBE2N	1
RNF8	WRAP53	1
RNF168	SUMO2	1
RNF168	TP53BP1	1
RNF168	UBE2N	1
RNF168	USP7	1
RPA1	RPA2	1
RPA1	RPA3	1
RPA1	RPA4	1
RPA1	SEM1	1
RPA1	TIPIN	1
RPA1	TOP3A	1
RPA1	TP53	1
RPA1	TP53BP1	1
RPA1	WRN	1
RPA1	XPA	1
RPA1	XRCC1	1
RPA2	RPA3	1
RPA2	RPA4	1
RPA2	TP53BP1	1
RPA2	UNG	1
RPA2	XPA	1
RPA2	XRCC6	1
RPA3	RPA4	1
RPA4	XPA	1
RRM1	RRM2B	1
SENP1	SUMO2	1
SETMAR	TOP2A	1
SFN	TP53	1
SHPRH	UBE2N	1
SHPRH	UBE2V2	1
SLX1A	SLX4	1
SLX1B	SLX4	1
SLX4	SUMO2	1
SLX4	TERF2	1
SLX4	UBE2I	1
SMARCA2	SMARCB1	1
SMARCA2	SMARCD1	1
SMARCA2	SS18	1
SMARCAD1	SUPT16H	1
SMARCAD1	TOPBP1	1
SMARCB1	SMARCD1	1
SMARCB1	SS18	1
SMARCB1	TP53	1
SMARCB1	XPC	1
SMARCD1	SS18	1
SMC1A	STAG1	1
SMC2	SMC4	1
SPATA5	SPATA5L1	1
SSRP1	SUPT16H	1
SSRP1	TONSL	1
SSRP1	XRCC5	1
SUMO2	TDG	1
SUMO2	TDP2	1
SUMO2	UBE2I	1
SUMO2	UIMC1	1
SUPT16H	TONSL	1
SUPT16H	XRCC5	1
TDG	UBE2I	1
TDG	XPC	1
TERF2	TOP2A	1
TERF2	WRN	1
TERF2	XRCC5	1
TERF2	XRCC6	1
TICRR	TOPBP1	1
TIMELESS	TIPIN	1
TONSL	XRCC5	1
TONSL	XRCC6	1
TOP1	TP53	1
TOP1	UBE2I	1
TOP2A	TOP2B	1
TOP2A	TP53	1
TOP2A	UBE2I	1
TOP2B	TP53	1
TOP2B	UBE2I	1
TP53	TP53BP1	1
TP53	UBE2A	1
TP53	UBE2I	1
TP53	UBE2N	1
TP53	UIMC1	1
TP53	USP7	1
TP53	USP42	1
TP53	VRK1	1
TP53	WRN	1
UBE2N	UBE2V2	1
USP1	WDR48	1
USP7	UVSSA	1
USP7	XPC	1
WRN	XRCC5	1
WRN	XRCC6	1
XAB2	XPA	1
XRCC4	XRCC6	1
XRCC5	XRCC6	1
